module	compound	compound_name	module_name
M00001	cpd:C00267	alpha-D-Glucose	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00668	alpha-D-Glucose 6-phosphate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C05345	beta-D-Fructose 6-phosphate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C05378	beta-D-Fructose 1,6-bisphosphate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00111	Glycerone phosphate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00118	D-Glyceraldehyde 3-phosphate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00236	3-Phospho-D-glyceroyl phosphate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00197	3-Phospho-D-glycerate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00631	2-Phospho-D-glycerate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00074	Phosphoenolpyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00001	cpd:C00022	Pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002	cpd:C00111	Glycerone phosphate	Glycolysis, core module involving three-carbon compounds
M00002	cpd:C00118	D-Glyceraldehyde 3-phosphate	Glycolysis, core module involving three-carbon compounds
M00002	cpd:C00236	3-Phospho-D-glyceroyl phosphate	Glycolysis, core module involving three-carbon compounds
M00002	cpd:C00197	3-Phospho-D-glycerate	Glycolysis, core module involving three-carbon compounds
M00002	cpd:C00631	2-Phospho-D-glycerate	Glycolysis, core module involving three-carbon compounds
M00002	cpd:C00074	Phosphoenolpyruvate	Glycolysis, core module involving three-carbon compounds
M00002	cpd:C00022	Pyruvate	Glycolysis, core module involving three-carbon compounds
M00003	cpd:C00036	Oxaloacetate	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C00074	Phosphoenolpyruvate	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C00631	2-Phospho-D-glycerate	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C00197	3-Phospho-D-glycerate	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C00236	3-Phospho-D-glyceroyl phosphate	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C00118	(2R)-2-Hydroxy-3-(phosphonooxy)-propanal	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C00111	Glycerone phosphate	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C05378	beta-D-Fructose 1,6-bisphosphate	Gluconeogenesis, oxaloacetate => fructose-6P
M00003	cpd:C05345	beta-D-Fructose 6-phosphate	Gluconeogenesis, oxaloacetate => fructose-6P
M00004	cpd:C01172	beta-D-Glucose 6-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C01236	D-Glucono-1,5-lactone 6-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C00345	6-Phospho-D-gluconate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C00199	D-Ribulose 5-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C00231	D-Xylulose 5-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C00117	D-Ribose 5-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C05382	Sedoheptulose 7-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C00118	D-Glyceraldehyde 3-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C00279	D-Erythrose 4-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C05345	beta-D-Fructose 6-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00004	cpd:C00668	alpha-D-Glucose 6-phosphate	Pentose phosphate pathway (Pentose phosphate cycle)
M00005	cpd:C00117	D-Ribose 5-phosphate	PRPP biosynthesis, ribose 5P => PRPP
M00005	cpd:C00119	5-Phospho-alpha-D-ribose 1-diphosphate	PRPP biosynthesis, ribose 5P => PRPP
M00006	cpd:C01172	beta-D-Glucose 6-phosphate	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00006	cpd:C01236	D-Glucono-1,5-lactone 6-phosphate	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00006	cpd:C00345	6-Phospho-D-gluconate	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00006	cpd:C00199	D-Ribulose 5-phosphate	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007	cpd:C05345	beta-D-Fructose 6-phosphate	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00007	cpd:C00118	D-Glyceraldehyde 3-phosphate	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00007	cpd:C00279	D-Erythrose 4-phosphate	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00007	cpd:C00231	D-Xylulose 5-phosphate	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00007	cpd:C05382	Sedoheptulose 7-phosphate	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00007	cpd:C00117	D-Ribose 5-phosphate	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00007	cpd:C00199	D-Ribulose 5-phosphate	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00008	cpd:C01172	beta-D-Glucose 6-phosphate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00008	cpd:C01236	D-Glucono-1,5-lactone 6-phosphate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00008	cpd:C00345	6-Phospho-D-gluconate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00008	cpd:C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00008	cpd:C00118	D-Glyceraldehyde 3-phosphate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00008	cpd:C00022	Pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00008	cpd:RMODULE	RM034  Sugar degradation to aldehyde and pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00009	cpd:C00024	Acetyl-CoA	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00036	Oxaloacetate	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00158	Citrate	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00311	Isocitrate	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00026	2-Oxoglutarate	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C15972	Enzyme N6-(lipoyl)lysine	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00091	Succinyl-CoA	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C15973	Enzyme N6-(dihydrolipoyl)lysine	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00042	Succinate	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00122	Fumarate	Citrate cycle (TCA cycle, Krebs cycle)
M00009	cpd:C00149	(S)-Malate	Citrate cycle (TCA cycle, Krebs cycle)
M00010	cpd:C00036	Oxaloacetate	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00010	cpd:C00024	Acetyl-CoA	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00010	cpd:C00158	Citrate	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00010	cpd:C00311	Isocitrate	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
