pathway	compound	compound_name	pathway_name
path:map00190	cpd:C00001	H2O; Water	Oxidative phosphorylation
path:map00195	cpd:C00001	H2O; Water	Photosynthesis
path:map00710	cpd:C00001	H2O; Water	Carbon fixation in photosynthetic organisms
path:map01100	cpd:C00001	H2O; Water	Metabolic pathways
path:map01120	cpd:C00001	H2O; Water	Microbial metabolism in diverse environments
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
NA	cpd:C00001	H2O; Water	NA
path:map00190	cpd:C00002	ATP; Adenosine 5'-triphosphate	Oxidative phosphorylation
path:map00195	cpd:C00002	ATP; Adenosine 5'-triphosphate	Photosynthesis
path:map00230	cpd:C00002	ATP; Adenosine 5'-triphosphate	Purine metabolism
path:map00231	cpd:C00002	ATP; Adenosine 5'-triphosphate	Puromycin biosynthesis
path:map00908	cpd:C00002	ATP; Adenosine 5'-triphosphate	Zeatin biosynthesis
path:map01100	cpd:C00002	ATP; Adenosine 5'-triphosphate	Metabolic pathways
path:map01110	cpd:C00002	ATP; Adenosine 5'-triphosphate	Biosynthesis of secondary metabolites
path:map01130	cpd:C00002	ATP; Adenosine 5'-triphosphate	Biosynthesis of antibiotics
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
NA	cpd:C00002	ATP; Adenosine 5'-triphosphate	NA
path:map00190	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	Oxidative phosphorylation
path:map00730	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	Thiamine metabolism
path:map00760	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	Nicotinate and nicotinamide metabolism
path:map00983	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	Drug metabolism - other enzymes
path:map01100	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	Metabolic pathways
NA	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	NA
NA	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	NA
NA	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	NA
NA	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	NA
NA	cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	NA
path:map00190	cpd:C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	Oxidative phosphorylation
path:map01100	cpd:C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	Metabolic pathways
NA	cpd:C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	NA
NA	cpd:C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	NA
NA	cpd:C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	NA
path:map00195	cpd:C00005	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	Photosynthesis
path:map00480	cpd:C00005	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	Glutathione metabolism
path:map01100	cpd:C00005	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	Metabolic pathways
NA	cpd:C00005	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	NA
NA	cpd:C00005	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	NA
path:map00195	cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	Photosynthesis
path:map00480	cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	Glutathione metabolism
path:map00760	cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	Nicotinate and nicotinamide metabolism
path:map00983	cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	Drug metabolism - other enzymes
path:map01100	cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	Metabolic pathways
NA	cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	NA
NA	cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	NA
path:map00190	cpd:C00007	Oxygen; O2	Oxidative phosphorylation
path:map00195	cpd:C00007	Oxygen; O2	Photosynthesis
path:map00630	cpd:C00007	Oxygen; O2	Glyoxylate and dicarboxylate metabolism
path:map01100	cpd:C00007	Oxygen; O2	Metabolic pathways
path:map01110	cpd:C00007	Oxygen; O2	Biosynthesis of secondary metabolites
path:map01130	cpd:C00007	Oxygen; O2	Biosynthesis of antibiotics
NA	cpd:C00007	Oxygen; O2	NA
NA	cpd:C00007	Oxygen; O2	NA
NA	cpd:C00007	Oxygen; O2	NA
NA	cpd:C00007	Oxygen; O2	NA
NA	cpd:C00007	Oxygen; O2	NA
path:map00190	cpd:C00008	ADP; Adenosine 5'-diphosphate	Oxidative phosphorylation
path:map00195	cpd:C00008	ADP; Adenosine 5'-diphosphate	Photosynthesis
path:map00230	cpd:C00008	ADP; Adenosine 5'-diphosphate	Purine metabolism
path:map00908	cpd:C00008	ADP; Adenosine 5'-diphosphate	Zeatin biosynthesis
path:map01100	cpd:C00008	ADP; Adenosine 5'-diphosphate	Metabolic pathways
path:map01110	cpd:C00008	ADP; Adenosine 5'-diphosphate	Biosynthesis of secondary metabolites
path:map01130	cpd:C00008	ADP; Adenosine 5'-diphosphate	Biosynthesis of antibiotics
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
NA	cpd:C00008	ADP; Adenosine 5'-diphosphate	NA
path:map00190	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	Oxidative phosphorylation
path:map00195	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	Photosynthesis
path:map01100	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	Metabolic pathways
NA	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	NA
NA	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	NA
NA	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	NA
NA	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	NA
NA	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	NA
NA	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	NA
NA	cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	NA
path:map00071	cpd:C00010	CoA; Coenzyme A; CoA-SH	Fatty acid degradation
path:map00332	cpd:C00010	CoA; Coenzyme A; CoA-SH	Carbapenem biosynthesis
path:map00770	cpd:C00010	CoA; Coenzyme A; CoA-SH	Pantothenate and CoA biosynthesis
path:map01100	cpd:C00010	CoA; Coenzyme A; CoA-SH	Metabolic pathways
path:map01130	cpd:C00010	CoA; Coenzyme A; CoA-SH	Biosynthesis of antibiotics
NA	cpd:C00010	CoA; Coenzyme A; CoA-SH	NA
NA	cpd:C00010	CoA; Coenzyme A; CoA-SH	NA
NA	cpd:C00010	CoA; Coenzyme A; CoA-SH	NA
NA	cpd:C00010	CoA; Coenzyme A; CoA-SH	NA
NA	cpd:C00010	CoA; Coenzyme A; CoA-SH	NA
path:map00220	cpd:C00011	CO2; Carbon dioxide	Arginine biosynthesis
path:map00230	cpd:C00011	CO2; Carbon dioxide	Purine metabolism
path:map00260	cpd:C00011	CO2; Carbon dioxide	Glycine, serine and threonine metabolism
path:map00361	cpd:C00011	CO2; Carbon dioxide	Chlorocyclohexane and chlorobenzene degradation
path:map00625	cpd:C00011	CO2; Carbon dioxide	Chloroalkane and chloroalkene degradation
path:map00630	cpd:C00011	CO2; Carbon dioxide	Glyoxylate and dicarboxylate metabolism
path:map00680	cpd:C00011	CO2; Carbon dioxide	Methane metabolism
path:map00710	cpd:C00011	CO2; Carbon dioxide	Carbon fixation in photosynthetic organisms
path:map00720	cpd:C00011	CO2; Carbon dioxide	Carbon fixation pathways in prokaryotes
path:map00791	cpd:C00011	CO2; Carbon dioxide	Atrazine degradation
path:map00910	cpd:C00011	CO2; Carbon dioxide	Nitrogen metabolism
path:map01100	cpd:C00011	CO2; Carbon dioxide	Metabolic pathways
path:map01120	cpd:C00011	CO2; Carbon dioxide	Microbial metabolism in diverse environments
path:map01200	cpd:C00011	CO2; Carbon dioxide	Carbon metabolism
path:map01230	cpd:C00011	CO2; Carbon dioxide	Biosynthesis of amino acids
NA	cpd:C00011	CO2; Carbon dioxide	NA
NA	cpd:C00011	CO2; Carbon dioxide	NA
NA	cpd:C00011	CO2; Carbon dioxide	NA
NA	cpd:C00011	CO2; Carbon dioxide	NA
NA	cpd:C00011	CO2; Carbon dioxide	NA
NA	cpd:C00011	CO2; Carbon dioxide	NA
NA	cpd:C00011	CO2; Carbon dioxide	NA
NA	cpd:C00011	CO2; Carbon dioxide	NA
path:map00330	cpd:C00012	Peptide	Arginine and proline metabolism
path:map00190	cpd:C00013	Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	Oxidative phosphorylation
NA	cpd:C00013	Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	NA
path:map00220	cpd:C00014	Ammonia; NH3	Arginine biosynthesis
path:map00230	cpd:C00014	Ammonia; NH3	Purine metabolism
path:map00250	cpd:C00014	Ammonia; NH3	Alanine, aspartate and glutamate metabolism
path:map00260	cpd:C00014	Ammonia; NH3	Glycine, serine and threonine metabolism
path:map00460	cpd:C00014	Ammonia; NH3	Cyanoamino acid metabolism
path:map00630	cpd:C00014	Ammonia; NH3	Glyoxylate and dicarboxylate metabolism
path:map00910	cpd:C00014	Ammonia; NH3	Nitrogen metabolism
path:map01100	cpd:C00014	Ammonia; NH3	Metabolic pathways
path:map01110	cpd:C00014	Ammonia; NH3	Biosynthesis of secondary metabolites
path:map01120	cpd:C00014	Ammonia; NH3	Microbial metabolism in diverse environments
path:map01130	cpd:C00014	Ammonia; NH3	Biosynthesis of antibiotics
path:map01200	cpd:C00014	Ammonia; NH3	Carbon metabolism
path:map01230	cpd:C00014	Ammonia; NH3	Biosynthesis of amino acids
NA	cpd:C00014	Ammonia; NH3	NA
NA	cpd:C00014	Ammonia; NH3	NA
NA	cpd:C00014	Ammonia; NH3	NA
NA	cpd:C00014	Ammonia; NH3	NA
NA	cpd:C00014	Ammonia; NH3	NA
path:map00240	cpd:C00015	UDP; Uridine 5'-diphosphate	Pyrimidine metabolism
