enzyme	enzyme_name	ec	module	module_name
ec:2.7.1.1	 hexokinase/glucokinase	2.7.1.1	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.2	 hexokinase/glucokinase	2.7.1.2	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.63	 polyphosphate glucokinase	2.7.1.63	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.147	 ADP-dependent glucokinase	2.7.1.147	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:5.3.1.9	 glucose-6-phosphate isomerase	5.3.1.9	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.11	 6-phosphofructokinase	2.7.1.11	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.146	 ADP-dependent phosphofructokinase	2.7.1.146	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:4.1.2.13	 fructose-bisphosphate aldolase	4.1.2.13	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:5.3.1.1	 triosephosphate isomerase	5.3.1.1	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:1.2.1.12	 glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:1.2.1.59	 glyceraldehyde 3-phosphate dehydrogenase	1.2.1.59	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.2.3	 phosphoglycerate kinase	2.7.2.3	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:1.2.7.6	 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)	1.2.7.6	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:5.4.2.11	 phosphoglycerate mutase	5.4.2.11	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:5.4.2.12	 phosphoglycerate mutase	5.4.2.12	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:4.2.1.11	 enolase	4.2.1.11	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.40	 pyruvate kinase	2.7.1.40	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:5.3.1.1	 triosephosphate isomerase	5.3.1.1	M00002	Glycolysis, core module involving three-carbon compounds
ec:1.2.1.12	 glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	M00002	Glycolysis, core module involving three-carbon compounds
ec:1.2.1.59	 glyceraldehyde 3-phosphate dehydrogenase	1.2.1.59	M00002	Glycolysis, core module involving three-carbon compounds
ec:2.7.2.3	 phosphoglycerate kinase	2.7.2.3	M00002	Glycolysis, core module involving three-carbon compounds
ec:1.2.7.6	 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)	1.2.7.6	M00002	Glycolysis, core module involving three-carbon compounds
ec:5.4.2.11	 phosphoglycerate mutase	5.4.2.11	M00002	Glycolysis, core module involving three-carbon compounds
ec:5.4.2.12	 phosphoglycerate mutase	5.4.2.12	M00002	Glycolysis, core module involving three-carbon compounds
ec:4.2.1.11	 enolase	4.2.1.11	M00002	Glycolysis, core module involving three-carbon compounds
ec:2.7.1.40	 pyruvate kinase	2.7.1.40	M00002	Glycolysis, core module involving three-carbon compounds
ec:4.1.1.32	 phosphoenolpyruvate carboxykinase	4.1.1.32	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:4.1.1.49	 phosphoenolpyruvate carboxykinase	4.1.1.49	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:4.2.1.11	 enolase	4.2.1.11	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:5.4.2.11	 phosphoglycerate mutase	5.4.2.11	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:5.4.2.12	 phosphoglycerate mutase	5.4.2.12	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:2.7.2.3	 phosphoglycerate kinase	2.7.2.3	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:1.2.1.12	 glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:1.2.1.59	 glyceraldehyde 3-phosphate dehydrogenase	1.2.1.59	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:5.3.1.1	 triosephosphate isomerase (TIM)	5.3.1.1	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:4.1.2.13	 fructose-bisphosphate aldolase	4.1.2.13	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:3.1.3.11	 fructose-1,6-bisphosphatase	3.1.3.11	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:4.1.2.13	 fructose 1,6-bisphosphate aldolase/phosphatase	4.1.2.13	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:3.1.3.11	 fructose 1,6-bisphosphate aldolase/phosphatase	3.1.3.11	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ec:1.1.1.47	 hexose-6-phosphate dehydrogenase	1.1.1.47	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:3.1.1.31	 hexose-6-phosphate dehydrogenase	3.1.1.31	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:1.1.1.49	 glucose-6-phosphate 1-dehydrogenase	1.1.1.49	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:1.1.1.363	 glucose-6-phosphate 1-dehydrogenase	1.1.1.363	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:1.1.1.388	 glucose-6-phosphate 1-dehydrogenase	1.1.1.388	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:3.1.1.31	 6-phosphogluconolactonase	3.1.1.31	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:1.1.1.44	 6-phosphogluconate dehydrogenase	1.1.1.44	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:1.1.1.343	 6-phosphogluconate dehydrogenase	1.1.1.343	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:5.1.3.1	 ribulose-phosphate 3-epimerase	5.1.3.1	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:5.3.1.6	 ribose 5-phosphate isomerase	5.3.1.6	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ec:2.2.1.1	 transketolase	2.2.1.1	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
