enzyme	enzyme_name	ec	module	module_name
ec:2.7.1.1	 hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	2.7.1.1	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.2	 hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	2.7.1.2	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.63	 polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189]	2.7.1.63	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.147	 ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	2.7.1.147	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:5.3.1.9	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	5.3.1.9	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.11	 6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	2.7.1.11	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.1.146	 ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]	2.7.1.146	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:4.1.2.13	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	4.1.2.13	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:5.3.1.1	 triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	5.3.1.1	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:1.2.1.12	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	1.2.1.12	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:1.2.1.59	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	1.2.1.59	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ec:2.7.2.3	 phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	2.7.2.3	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
