enzyme	logFC	logCPM	PValue	FDR	association
1.-.-.-	-1.01322471	8.150486224	0.022937132	0.050223768	Not associated
1.1.1.-	-0.575989372	12.08885964	0.000122076	0.000911185	Not associated
1.1.1.1	-0.112997627	11.78688246	0.443379858	0.549546962	Not associated
1.1.1.10	1.355242802	2.666542453	0.206816353	0.297998894	Not associated
1.1.1.100	-0.110846326	11.66053591	0.435106629	0.541777932	Not associated
1.1.1.103	-0.420480353	8.754346864	0.208849426	0.300165505	Not associated
1.1.1.11	-3.882129866	5.068580919	4.06E-05	0.000380903	root
1.1.1.122	-0.900017407	8.228367039	0.028393953	0.059869711	Not associated
1.1.1.125	-1.202416393	8.712728263	0.000772566	0.003611547	root
1.1.1.130	-4.448721424	0.413370467	0.198036304	0.287994668	Not associated
1.1.1.132	-2.315188423	7.129653712	7.82E-05	0.000644023	root
1.1.1.133	-0.361342077	9.032352004	0.264714375	0.362773057	Not associated
1.1.1.14	1.429480325	7.902760338	0.000479084	0.002548197	soil
1.1.1.140	0.125103743	2.494295115	0.913974256	0.946190974	Not associated
1.1.1.157	0.385436837	10.16760464	0.062374623	0.112064508	Not associated
1.1.1.169	-1.296746035	8.575111904	0.000489773	0.002594836	root
1.1.1.17	1.621875471	5.766620768	0.041674772	0.08101096	Not associated
1.1.1.170	-4.514876053	0.498295758	0.148688467	0.22775297	Not associated
1.1.1.178	-2.036264644	2.851639037	0.16134123	0.243816556	Not associated
1.1.1.179	2.494916169	1.948774273	0.028516432	0.060008879	Not associated
1.1.1.18	-0.464127634	8.934072349	0.142377464	0.219079675	Not associated
1.1.1.184	-0.95505241	3.863461541	0.325961913	0.43047365	Not associated
1.1.1.189	-0.95504708	3.863461541	0.326951732	0.430938332	Not associated
1.1.1.193	0.179398298	9.709292804	0.382487303	0.492133663	Not associated
1.1.1.197	-0.95505056	3.863461541	0.326304889	0.430505766	Not associated
1.1.1.2	-0.886382049	6.616759075	0.146719692	0.224992399	Not associated
1.1.1.202	2.676052965	3.048755164	0.060929315	0.110047467	Not associated
1.1.1.205	0.846894864	11.52265692	6.97E-07	1.54E-05	Not associated
1.1.1.206	-2.012592294	6.126797911	0.004289891	0.013452035	Not associated
1.1.1.21	-3.82589231	3.005926175	0.009881388	0.025436835	Not associated
1.1.1.215	-2.208180502	6.894763412	0.000249714	0.00154754	root
1.1.1.22	0.095662077	10.50136279	0.561185385	0.668572712	Not associated
1.1.1.23	-0.2926184	10.18073973	0.137942016	0.214700074	Not associated
1.1.1.25	-0.722577605	9.490277964	0.006647391	0.018478652	Not associated
1.1.1.26	-0.891656215	8.467329478	0.02093101	0.04681754	Not associated
1.1.1.262	-0.794458955	9.72069109	0.002394522	0.008490813	Not associated
1.1.1.27	-0.368338216	7.341406698	0.503846862	0.610490682	Not associated
1.1.1.271	-1.830343995	7.087771733	0.005413932	0.015865993	Not associated
1.1.1.28	-2.201596973	7.65756736	0.000293522	0.001754639	root
