enzyme	enzyme_name	ec	module	module_name
ko:K00844	 hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	K00844	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K12407	 hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	K12407	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00845	 hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	K00845	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00886	 polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189]	K00886	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K08074	 ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	K08074	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00918	 ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	K00918	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K01810	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K01810	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K06859	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K06859	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K13810	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K13810	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K15916	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K15916	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00850	 6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	K00850	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K16370	 6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	K16370	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K21071	 6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	K21071	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00918	 ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]	K00918	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K01623	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01623	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K01624	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01624	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K11645	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K11645	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K16305	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K16305	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K16306	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K16306	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K01803	 triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	K01803	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00134	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00134	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00150	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00150	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00927	 phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	K00927	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K11389	 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159]	K11389	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K01834	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K01834	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K15633	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15633	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K15634	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15634	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K15635	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15635	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K01689	 enolase [EC:4.2.1.11] [RN:R00658]	K01689	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K00873	 pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K00873	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K12406	 pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K12406	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
ko:K01803	 triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	K01803	M00002	Glycolysis, core module involving three-carbon compounds
ko:K00134	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00134	M00002	Glycolysis, core module involving three-carbon compounds
ko:K00150	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00150	M00002	Glycolysis, core module involving three-carbon compounds
ko:K00927	 phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	K00927	M00002	Glycolysis, core module involving three-carbon compounds
ko:K11389	 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159]	K11389	M00002	Glycolysis, core module involving three-carbon compounds
ko:K01834	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K01834	M00002	Glycolysis, core module involving three-carbon compounds
ko:K15633	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15633	M00002	Glycolysis, core module involving three-carbon compounds
ko:K15634	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15634	M00002	Glycolysis, core module involving three-carbon compounds
ko:K15635	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15635	M00002	Glycolysis, core module involving three-carbon compounds
ko:K01689	 enolase [EC:4.2.1.11] [RN:R00658]	K01689	M00002	Glycolysis, core module involving three-carbon compounds
ko:K00873	 pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K00873	M00002	Glycolysis, core module involving three-carbon compounds
ko:K12406	 pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K12406	M00002	Glycolysis, core module involving three-carbon compounds
ko:K01596	 phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	K01596	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01610	 phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	K01610	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01689	 enolase [EC:4.2.1.11] [RN:R00658]	K01689	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01834	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K01834	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K15633	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15633	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K15634	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15634	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K15635	 phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15635	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K00927	 phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	K00927	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K00134	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00134	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K00150	 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00150	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01803	 triosephosphate isomerase (TIM) [EC:5.3.1.1] [RN:R01015]	K01803	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01623	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01623	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01624	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01624	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K11645	 fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K11645	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K03841	 fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K03841	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K02446	 fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K02446	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K11532	 fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K11532	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01086	 fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K01086	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K04041	 fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K04041	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K01622	 fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01070 R04780]	K01622	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
ko:K13937	 hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035]	K13937	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K00036	 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K00036	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K19243	 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K19243	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K01057	 6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K01057	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K07404	 6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K07404	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K00033	 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	K00033	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K01783	 ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	K01783	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K01807	 ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01807	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K01808	 ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01808	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K00615	 transketolase [EC:2.2.1.1] [RN:R01641]	K00615	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K00616	 transaldolase [EC:2.2.1.2] [RN:R01827]	K00616	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K01810	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K01810	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K06859	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K06859	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K13810	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K13810	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K15916	 glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K15916	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
ko:K00948	 ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [RN:R01049]	K00948	M00005	PRPP biosynthesis, ribose 5P => PRPP
ko:K13937	 hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035]	K13937	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
ko:K00036	 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K00036	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
ko:K19243	 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K19243	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
ko:K01057	 6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K01057	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
ko:K07404	 6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K07404	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
ko:K00033	 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	K00033	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
ko:K00615	 transketolase [EC:2.2.1.1] [RN:R01830 R01641]	K00615	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
ko:K00616	 transaldolase [EC:2.2.1.2] [RN:R01827]	K00616	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
ko:K13810	 transaldolase [EC:2.2.1.2] [RN:R01827]	K13810	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
ko:K01783	 ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	K01783	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
ko:K01807	 ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01807	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
ko:K01808	 ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01808	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
ko:K00036	 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] [RN:R02736 R10907]	K00036	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
ko:K01057	 6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K01057	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
ko:K07404	 6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K07404	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
ko:K01690	 phosphogluconate dehydratase [EC:4.2.1.12] [RN:R02036]	K01690	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
ko:K01625	 2-dehydro-3-deoxyphosphogluconate aldolase [EC:4.1.2.14] [RN:R05605]	K01625	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
ko:K01647	 citrate synthase [EC:2.3.3.1] [RN:R00351]	K01647	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K05942	 citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]	K05942	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01681	 aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	K01681	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01682	 aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	K01682	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00031	 isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	K00031	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00030	 isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	K00030	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00164	 2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00164	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00658	 2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00658	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00382	 2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00382	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00174	 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]	K00174	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00175	 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]	K00175	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00177	 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]	K00177	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00176	 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]	K00176	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01902	 succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	K01902	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01903	 succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	K01903	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01899	 succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	K01899	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01900	 succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	K01900	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K18118	 succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]	K18118	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00234	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00234	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00235	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00235	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00236	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00236	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00237	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00237	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00239	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00239	M00009	Citrate cycle (TCA cycle, Krebs cycle)
